Индекс,1,2,3,4,5,6,7,8,9,10,11,12 факт дата,13,14,15,16,17,18 отклонение,19 Точка расхода,20,21,22,23,24,25,26,27,28
404,8,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-01-11,2018-01-10,2531,КМХ,484.67,,,0.04,156.229,156.167,ЛПР,LM 16-S6,,15.01,1.24,19.68,873.3,
421,25,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-01-18,2018-01-19,2535,КМХ,444.52,,,0.12,156.355,156.167,ЛПР,LM 16-S6,,12.46,1.23,22.46,876.2,
437,41,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-01-25,2018-01-25,2544,КМХ,466.01,,,-0.06,156.073,156.167,ЛПР,LM 16-S6,,15.39,1.14,18.45,871.7,
448,52,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-02-01,2018-02-01,2548,КМХ,462.07,,,0.13,156.37,156.167,ЛПР,LM 16-S6,,15.45,1.16,19.87,872.9,
458,62,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-02-08,2018-02-09,2554,КМХ,467.4,,,0.09,156.308,156.167,ЛПР,LM 16-S6,,14.72,1.2,20.07,872.9,
468,72,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-02-15,2018-02-15,2561,КМХ,471.14,,,0.03,156.214,156.167,ЛПР,LM 16-S6,,15.14,1.17,19.64,872.5,
478,82,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-02-22,2018-02-21,2565,КМХ,459.0,,,0.13,156.37,156.167,ЛПР,LM 16-S6,,16.57,1.12,19.03,872.0,
488,92,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-03-01,2018-02-27,2571,КМХ,465.96,,,0.18,156.449,156.167,ЛПР,LM 16-S6,,18.01,1.2,18.79,871.8,
489,93,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,,2018-02-27,2575,КМХ,457.15,,,0.07,156.276,156.167,ЛПР,LM 16-S6,,18.01,1.2,18.75,871.8,повторное кмх
493,97,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-03-07,2018-03-05,2583,КМХ,457.77,,,0.04,156.229,156.167,ЛПР,LM 16-S6,,15.51,1.15,19.92,872.7,
511,115,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-03-15,2018-03-15,73,КМХ,446.85,,,0.07,156.276,156.167,ЛПР,LM 16-S6,,13.47,1.2,20.81,874.3,
515,119,,,,СИКН,ИЛ 11,ТПР,HELIFLU TZ-N 250-2000,,3,2018-03-22,2018-03-20,2595,КМХ,450.16,,,-0.09,156.027,156.167,ЛПР,LM 16-S6,,15.5,1.24,19.19,872.4,
