Данные по сигналу Мгновенный расход ИЛ №1 (т/ч) (т/ч):,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Дата: с 21.12.2017 по 25.12.2018 23:59:59,,,,,,
Время,Значение,Качество,,,,
2018-01-01 03:00:00,374.1418762207031,Хорошее,,,,
2018-01-01 04:00:00,429.05731201171875,Хорошее,,,,
2018-01-01 05:00:00,442.4455871582031,Хорошее,,,,
2018-01-01 06:00:00,433.511474609375,Хорошее,,,,
2018-01-01 07:00:00,442.44842529296875,Хорошее,,,,
2018-01-01 08:00:00,442.435546875,Хорошее,,,,
2018-01-01 09:00:00,442.4165954589844,Хорошее,,,,
2018-01-01 10:00:00,433.46588134765625,Хорошее,,,,
2018-01-01 11:00:00,433.39605712890625,Хорошее,,,,
2018-01-01 12:00:00,433.42706298828125,Хорошее,,,,
2018-01-01 13:00:00,433.349853515625,Хорошее,,,,
2018-01-01 14:00:00,436.8310241699219,Хорошее,,,,
2018-01-01 15:00:00,431.344970703125,Хорошее,,,,
2018-01-01 16:00:00,428.86248779296875,Хорошее,,,,
2018-01-01 17:00:00,425.0232238769531,Хорошее,,,,
2018-01-01 18:00:00,436.341064453125,Хорошее,,,,
2018-01-01 19:00:00,428.9649353027344,Хорошее,,,,
2018-01-01 20:00:00,421.1856384277344,Хорошее,,,,
2018-01-01 21:00:00,430.795654296875,Хорошее,,,,
2018-01-01 22:00:00,424.9166259765625,Хорошее,,,,
2018-01-01 23:00:00,442.3138427734375,Хорошее,,,,
2018-01-02 00:00:00,438.1711120605469,Хорошее,,,,
2018-01-02 01:00:00,431.1346435546875,Хорошее,,,,
2018-01-02 02:00:00,425.56024169921875,Хорошее,,,,
2018-01-02 03:00:00,425.59490966796875,Хорошее,,,,
2018-01-02 04:00:00,426.2417907714844,Хорошее,,,,
2018-01-02 05:00:00,442.6070556640625,Хорошее,,,,
2018-01-02 06:00:00,433.5667419433594,Хорошее,,,,
2018-01-02 07:00:00,431.43634033203125,Хорошее,,,,
2018-01-02 08:00:00,442.30804443359375,Хорошее,,,,
2018-01-02 09:00:00,428.8775329589844,Хорошее,,,,
2018-01-02 10:00:00,437.7746887207031,Хорошее,,,,
2018-01-02 11:00:00,433.3157043457031,Хорошее,,,,
2018-01-02 12:00:00,442.1970520019531,Хорошее,,,,
2018-01-02 13:00:00,437.7938232421875,Хорошее,,,,
2018-01-02 14:00:00,437.81927490234375,Хорошее,,,,
2018-01-02 15:00:00,433.369384765625,Хорошее,,,,
2018-01-02 16:00:00,437.8246154785156,Хорошее,,,,
2018-01-02 17:00:00,437.7821960449219,Хорошее,,,,
2018-01-02 18:00:00,433.3890380859375,Хорошее,,,,
2018-01-02 19:00:00,429.0079040527344,Хорошее,,,,
2018-01-02 20:00:00,437.9211730957031,Хорошее,,,,
2018-01-02 21:00:00,433.43780517578125,Хорошее,,,,
2018-01-02 22:00:00,429.0046081542969,Хорошее,,,,
2018-01-02 23:00:00,437.9348449707031,Хорошее,,,,
2018-01-03 00:00:00,429.0294189453125,Хорошее,,,,
2018-01-03 01:00:00,442.3948059082031,Хорошее,,,,
2018-01-03 02:00:00,442.40142822265625,Хорошее,,,,
2018-01-03 03:00:00,442.4142150878906,Хорошее,,,,
2018-01-03 04:00:00,429.01153564453125,Хорошее,,,,
2018-01-03 05:00:00,442.44873046875,Хорошее,,,,
2018-01-03 06:00:00,433.515625,Хорошее,,,,
2018-01-03 07:00:00,442.5946044921875,Хорошее,,,,
2018-01-03 08:00:00,442.5823669433594,Хорошее,,,,
2018-01-03 09:00:00,442.5736083984375,Хорошее,,,,
2018-01-03 10:00:00,438.05645751953125,Хорошее,,,,
2018-01-03 11:00:00,433.53631591796875,Хорошее,,,,
2018-01-03 12:00:00,437.9627380371094,Хорошее,,,,
2018-01-03 13:00:00,442.41650390625,Хорошее,,,,
2018-01-03 14:00:00,442.37548828125,Хорошее,,,,
2018-01-03 15:00:00,442.35791015625,Хорошее,,,,
2018-01-03 16:00:00,442.4333801269531,Хорошее,,,,
2018-01-03 17:00:00,442.4912414550781,Хорошее,,,,
2018-01-03 18:00:00,428.92034912109375,Хорошее,,,,
2018-01-03 19:00:00,442.18939208984375,Хорошее,,,,
2018-01-03 20:00:00,428.8706970214844,Хорошее,,,,
2018-01-03 21:00:00,442.2900085449219,Хорошее,,,,
2018-01-03 22:00:00,442.7297668457031,Хорошее,,,,
2018-01-03 23:00:00,442.7642517089844,Хорошее,,,,
2018-01-04 00:00:00,442.7813415527344,Хорошее,,,,
2018-01-04 01:00:00,429.3477478027344,Хорошее,,,,
2018-01-04 02:00:00,442.6806640625,Хорошее,,,,
2018-01-04 03:00:00,429.2945556640625,Хорошее,,,,
2018-01-04 04:00:00,442.7208251953125,Хорошее,,,,
2018-01-04 05:00:00,442.7226257324219,Хорошее,,,,
2018-01-04 06:00:00,429.3145446777344,Хорошее,,,,
2018-01-04 07:00:00,442.7353210449219,Хорошее,,,,
2018-01-04 08:00:00,429.341796875,Хорошее,,,,
2018-01-04 09:00:00,378.5389709472656,Хорошее,,,,
2018-01-04 10:00:00,442.6627502441406,Хорошее,,,,
2018-01-04 11:00:00,442.6526184082031,Хорошее,,,,
2018-01-04 12:00:00,442.6953430175781,Хорошее,,,,
2018-01-04 13:00:00,442.72698974609375,Хорошее,,,,
2018-01-04 14:00:00,442.73626708984375,Хорошее,,,,
2018-01-04 15:00:00,442.74578857421875,Хорошее,,,,
